# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECTANGLE":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7,"EXTREME_RECTANGLE":8,"EXTREME_CIRCLE":9}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {"1":{"aname":"cow","anchor_id":"FILE1_Z0_XY1","type":2,"desc":"","options":{"0":"stand","1":"lying down","2":"foraging","3":"drinking water","4":"rumination"},"default_option_id":""}}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_Vp8sMIV7","[""618_00002.jpg""]",0,"[]","[2,877.618,387.741,321.541,349.912]","{""1"":""0,4""}"
"1_eIfRFGdG","[""618_00002.jpg""]",0,"[]","[2,1518.809,527.706,208.056,370.718]","{""1"":""1,4""}"
"1_6kUvfp4X","[""618_00002.jpg""]",0,"[]","[2,406,362,246,274]","{""1"":""0""}"
"1_gnhiVZuF","[""618_00002.jpg""]",0,"[]","[2,118,498,206,348]","{""1"":""0""}"
"1_O8K5DgjB","[""618_00002.jpg""]",0,"[]","[2,260,822,848,252]","{""1"":""0,2""}"
"1_Rjp3oQqx","[""618_00002.jpg""]",0,"[]","[2,60,388,160,190]","{""1"":""0,2""}"
"1_HUQLy6lM","[""618_00002.jpg""]",0,"[]","[2,228,294,156,124]","{""1"":""0""}"
"19_KlSLrSOl","[""621_00002.jpg""]",0,"[]","[2,1310,360,150,332]","{""1"":""0""}"
"19_wDtToGb5","[""621_00002.jpg""]",0,"[]","[2,60,654,440,300]","{""1"":""0,2""}"
"19_0XMSptW7","[""621_00002.jpg""]",0,"[]","[2,32,516,374,142]","{""1"":""0,2""}"
"20_MgAyWVDy","[""621_00003.jpg""]",0,"[]","[2,68,648,402,282]","{""1"":""0,2""}"
"20_H6MkcO00","[""621_00003.jpg""]",0,"[]","[2,40,538,332,128]","{""1"":""0,2""}"
"20_eauvaiS3","[""621_00003.jpg""]",0,"[]","[2,1314,386,188,342]","{""1"":""0""}"
"21_bg3pWEvF","[""621_00004.jpg""]",0,"[]","[2,1310,364,180,362]","{""1"":""0""}"
"21_NkIwYX50","[""621_00004.jpg""]",0,"[]","[2,4,504,378,176]","{""1"":""0""}"
"21_Yu8EEj0z","[""621_00004.jpg""]",0,"[]","[2,76,648,394,332]","{""1"":""0,2""}"
"22_sEteT1Xy","[""621_00005.jpg""]",0,"[]","[2,68,652,442,332]","{""1"":""0""}"
